algorithm,seed,final_evaluation_episode,final_evaluation_return,runtime_seconds,runtime_minutes
maddpg,3,1000,-18.274354934692383,394.21632410003804,6.570272068333967
maddpg,7,1000,-18.801977157592773,636.7425629000645,10.612376048334408
maddpg,11,1000,-18.60446071624756,612.4635495999828,10.20772582666638
maddpg,19,1000,-19.712002182006835,603.1205267999321,10.052008779998868
maddpg,23,1000,-18.687392234802246,620.2075241999701,10.3367920699995
maddpg,29,1000,-18.875594711303712,616.2641434001271,10.271069056668784
maddpg,31,1000,-20.62287845611572,580.7882723000366,9.679804538333943
maddpg,37,1000,-20.360250091552736,595.6171905000228,9.926953175000381
maddpg,41,1000,-18.681051445007324,595.2273260999937,9.920455434999894
maddpg,47,1000,-21.34212245941162,679.7789880000055,11.329649800000091
independent_ddpg,3,1000,-18.744164276123048,549.3743123998865,9.156238539998109
independent_ddpg,7,1000,-20.380858993530275,533.6130367000587,8.893550611667646
independent_ddpg,11,1000,-19.5824857711792,496.27883520000614,8.271313920000102
independent_ddpg,19,1000,-18.368936347961426,524.2164135000203,8.736940225000337
independent_ddpg,23,1000,-20.209704780578612,493.38123769988306,8.223020628331385
independent_ddpg,29,1000,-20.992387962341308,533.7993641998619,8.896656069997698
independent_ddpg,31,1000,-20.48851547241211,437.30378680001013,7.288396446666836
independent_ddpg,37,1000,-21.46801624298096,461.1738623001147,7.6862310383352455
independent_ddpg,41,1000,-16.25762062072754,456.61769989994355,7.610294998332392
independent_ddpg,47,1000,-23.133648681640626,438.75814789999276,7.312635798333213
