seed,maddpg_final_return,independent_ddpg_final_return,maddpg_minus_independent_ddpg,winner
3,-18.274354934692383,-18.744164276123048,0.4698093414306648,maddpg
7,-18.801977157592773,-20.380858993530275,1.5788818359375014,maddpg
11,-18.60446071624756,-19.5824857711792,0.978025054931642,maddpg
19,-19.712002182006835,-18.368936347961426,-1.343065834045408,independent_ddpg
23,-18.687392234802246,-20.209704780578612,1.5223125457763658,maddpg
29,-18.875594711303712,-20.992387962341308,2.1167932510375955,maddpg
31,-20.62287845611572,-20.48851547241211,-0.13436298370361044,independent_ddpg
37,-20.360250091552736,-21.46801624298096,1.1077661514282227,maddpg
41,-18.681051445007324,-16.25762062072754,-2.4234308242797837,independent_ddpg
47,-21.34212245941162,-23.133648681640626,1.791526222229006,maddpg
