algorithm,seed,episodes_completed,environment_steps,update_count,mean_training_return,training_seconds,wall_runtime_seconds,final_eval_return,final_success_rate,final_mean_steps,final_mean_distance,final_mean_collisions,final_mean_force_disagreement,final_mean_control_effort,final_mean_max_abs_orientation
independent_ddpg,3,300,52805,26147,6.38965053881492,527.2271516998298,528.3846459002234,11.12087970644825,1.0,62.2,0.18527364183638648,0.0,0.46288490867690363,198.7188116298169,2.1015011244747583
independent_ddpg,7,300,52498,25994,6.774603775936738,460.151312999893,460.1913799997419,11.116966076074243,1.0,71.0,0.188094548973592,0.0,0.2676723340284819,192.67926502318014,0.6556465492973531
independent_ddpg,11,300,43264,21377,7.5506898899149455,363.63031799998134,363.6696624001488,11.147123155474038,1.0,59.2,0.17841469985697797,0.0,0.4056729285966124,179.14421968574908,1.758547728346434
independent_ddpg,19,300,75741,37615,1.6185400716528895,642.2763859997503,642.3232946000062,8.419648973700124,0.8,170.0,0.5646553781226432,0.0,0.4159622783219955,523.8947960100377,1.801176876808524
independent_ddpg,23,300,48246,23868,7.438175493641946,418.04580469988286,418.0985626000911,8.600931124206046,0.8,195.7,0.28381660117881774,0.0,0.4473404735202145,627.6736497843875,2.4375453556587745
independent_ddpg,29,300,47969,23729,6.908378571136364,397.69005720037967,397.74773259973153,11.180485625342044,1.0,58.5,0.17815085797480731,0.0,0.29201275135530413,151.14565111109013,1.2054471124812571
independent_ddpg,31,300,54767,27128,5.872651975593476,464.27245450019836,464.3157155998051,11.171051558996442,1.0,59.4,0.18750574280509963,0.0,0.26783674687131587,150.71741558672275,1.0714244627359537
independent_ddpg,37,300,47432,23461,6.869805850684138,490.5856535001658,490.6312303999439,10.004308530524487,0.9,90.1,0.2463998349801404,0.0,0.39948106296084906,249.0597214937499,0.8570806706841136
independent_ddpg,41,300,53532,26511,5.950285706809871,523.4700260004029,523.5044860998169,11.127540613834617,1.0,59.0,0.17922129929344974,0.0,0.3943240392348943,186.6442236371591,1.6935345529411188
independent_ddpg,47,300,48167,23828,6.867781219735265,566.7622837000526,566.8192436001264,11.150449543998548,1.0,64.2,0.18941078008257425,0.0,0.3707704380214497,167.29573083268093,2.186962170868608
