algorithm,seed,episodes_completed,environment_steps,update_count,mean_training_return,training_seconds,wall_runtime_seconds,final_eval_return,final_success_rate,final_mean_steps,final_mean_distance,final_mean_collisions,final_mean_force_disagreement,final_mean_control_effort,final_mean_max_abs_orientation
maddpg,3,300,45145,22317,7.314685511355486,452.73151199985296,453.8352425999474,9.966393209797024,0.9,85.4,0.23770601846985934,0.0,0.4380725086149309,300.77291825874283,1.8314800755038618
maddpg,7,300,60302,29896,4.990311155972951,534.34975449997,534.391337600071,9.679005394510204,0.9,105.1,0.45162866308045746,0.0,0.42240919660833665,367.1056991994202,2.8531171934642963
maddpg,11,300,46424,22957,7.390766007832717,467.8771194999572,467.9108510001097,11.085545817791262,1.0,68.1,0.19405484830456196,0.0,0.42845687898489393,225.0815575868874,2.7414701350540973
maddpg,19,300,55669,27579,6.009495542854155,556.3265554001555,556.3658728001174,11.135974944544795,1.0,69.0,0.18611189468420092,0.0,0.19269176130265078,186.11215722177954,1.0990486728154791
maddpg,23,300,48533,24011,6.91412042866042,481.6765374999959,481.7287254000548,11.089347977345279,1.0,66.3,0.1842685461083195,0.0,0.2631434523603799,238.80472668761914,0.5311327021284182
maddpg,29,300,49247,24368,6.8316749484057375,488.45135960006155,488.4937376996968,11.07787322849108,1.0,78.0,0.19021622215368333,0.0,0.3371261065926793,241.69249889633116,0.44864916115556247
maddpg,31,300,60419,29954,4.79311046804717,599.4163111997768,599.4752258001827,11.151699987826941,1.0,76.3,0.1913086738890554,0.0,0.4690228595721635,166.26611922515983,0.3135019210230733
maddpg,37,300,42980,21235,7.878221995160942,432.11659000022337,432.1644739001058,11.126978742766095,1.0,65.0,0.18510565639685334,0.0,0.2717745119687862,187.68391289218383,0.24536347860663738
maddpg,41,300,54828,27159,6.1238722850217435,537.5716781001538,537.6138493996114,11.095156816284543,1.0,69.8,0.18247224140075263,0.0,0.2521364190948433,215.77718706105526,0.28827358653214696
maddpg,47,300,53305,26397,6.414686186119931,532.9414242999628,532.9841888998635,10.920243949919898,1.0,113.9,0.19479584327972688,0.0,0.3033612303722646,392.1163101168225,0.9669796731741048
