algorithm,training_seed,test_episode_count,success_rate,mean_return,mean_steps,mean_final_distance,mean_collisions,mean_force_disagreement,mean_control_effort,mean_max_abs_orientation
maddpg,3,20,0.9,9.907840054090547,95.2,0.2461954217991324,0.0,0.4377250463987069,336.7796228870673,1.7761495813302204
maddpg,7,20,0.8,8.447962374431677,118.45,0.6237600818288934,0.0,0.44620611396223253,419.0926616875985,2.8587782485016753
maddpg,11,20,1.0,11.069171897261821,68.5,0.19363816460063826,0.0,0.42567961714825386,228.0051555314688,2.740202339752967
maddpg,19,20,1.0,11.117752822914827,69.15,0.18373011430563496,0.0,0.18172623059145282,189.3321392733309,1.0587478114675979
maddpg,23,20,1.0,11.06094772835022,67.15,0.1866810363267786,0.0,0.26461261543415887,243.18642044838862,0.5539173519009841
maddpg,29,20,1.0,11.065476802888815,77.05,0.18877933130660388,0.0,0.32690880391274224,236.55901620409,0.5029618775227106
maddpg,31,20,1.0,11.129806578214822,76.4,0.19302941439888874,0.0,0.4568021028921373,167.97914007720436,0.3319706429832237
maddpg,37,20,1.0,11.109758170122769,65.55,0.18673311257000497,0.0,0.27932742403873845,194.32395160076018,0.2544843728032075
maddpg,41,20,1.0,11.092970864757172,69.45,0.18360903202768744,0.0,0.25415817375656896,214.2351954646471,0.28695377924103144
maddpg,47,20,1.0,10.880273851166521,123.1,0.1926732709494612,0.0,0.32387860610643915,417.8679750829321,0.9600675087642874
independent_ddpg,3,20,1.0,11.102443224450393,61.9,0.18828664486873226,0.0,0.4616587444612927,200.08532167948664,2.10521431023533
independent_ddpg,7,20,1.0,11.096210273397583,73.5,0.18747643168011544,0.0,0.27749127761419545,207.12849239253052,0.6268375269377675
independent_ddpg,11,20,1.0,11.136147562846237,59.15,0.17558379904477467,0.0,0.374628010574005,179.08380553968658,1.784519054320776
independent_ddpg,19,20,0.6,5.836152448556,218.2,0.956423421302962,0.0,0.4151391273685984,698.2392973063478,2.5966425224275014
independent_ddpg,23,20,0.85,9.191377728870885,167.9,0.26393360777869507,0.0,0.42806968377508114,535.5037885089291,2.0633880636000446
independent_ddpg,29,20,1.0,11.15710712670234,59.3,0.17558108200565722,0.0,0.28497361192116133,158.1268768983167,1.287170532834256
independent_ddpg,31,20,1.0,11.143586133506142,60.25,0.18997884743907442,0.0,0.27411315198906755,157.25014650252473,1.035993897463552
independent_ddpg,37,20,0.95,10.443841506124125,121.35,0.20526636021623265,0.0,0.3710352456175458,341.70723622658363,1.124338521527259
independent_ddpg,41,20,1.0,11.117239013717448,58.45,0.18648454034876952,0.0,0.3867175830291894,187.09152110506494,1.6543724185237487
independent_ddpg,47,20,1.0,11.145665378175362,64.15,0.18677205034774438,0.0,0.3014364787731443,158.3777145004854,2.1228861240791987
handcrafted,,20,1.0,11.196827597678624,63.1,0.18186468045329915,0.0,0.23261219660741522,112.12280573188323,0.1841491520455157
