algorithm,disturbance_type,disturbance_level,policy_count,success_rate,std_success_rate_across_policies,mean_episode_return,std_mean_episode_return_across_policies,mean_final_goal_distance,std_mean_final_goal_distance_across_policies,mean_episode_length,std_mean_episode_length_across_policies,mean_payload_stability,std_mean_payload_stability_across_policies,mean_control_effort,std_mean_control_effort_across_policies,mean_force_imbalance,std_mean_force_imbalance_across_policies
handcrafted,action_deadzone,0.0,1,1.0,,11.206196562882985,,0.1840628233614444,,62.5,,0.26861118625566344,,110.37718083745104,,0.22819326397311407,
independent_ddpg,action_deadzone,0.0,10,0.9400000000000001,0.107496769977314,10.388091230486861,1.3864192174775758,0.2509963946167325,0.18270758767664041,89.18499999999999,50.715393510145304,1.0907854103012442,0.3765393559553245,261.5488582141089,166.0804537392738,0.37078332979976814,0.07663204557519376
maddpg,action_deadzone,0.0,10,0.99,0.031622776601683784,10.953448454405406,0.3814188841059235,0.19459739024145034,0.017078574980489297,79.715,18.79995641247902,0.7980817104237641,0.5315799588453604,252.5906392635096,80.64911572442853,0.34231784941599014,0.09946669906454761
handcrafted,action_deadzone,0.05,1,1.0,,11.206597782834251,,0.183755014887861,,62.4,,0.2690018887828832,,110.28364280040255,,0.22858128519688772,
independent_ddpg,action_deadzone,0.05,10,0.9550000000000001,0.09559753599799993,10.53747325557363,1.2703914914966696,0.25133466611107025,0.18677163368742114,89.14999999999999,50.66863483019407,1.089493213368768,0.3752088514791135,261.82854697413137,166.68997492412814,0.3703468016471462,0.07646930124090005
maddpg,action_deadzone,0.05,10,0.975,0.06346477588219922,10.77583558460036,0.733919290424458,0.21710793115743673,0.05950448443339981,81.09,19.36524378020237,0.7990159905754991,0.5325538693065124,257.6929919899341,84.17751149944046,0.3426995084530037,0.09964684215626916
handcrafted,action_deadzone,0.1,1,1.0,,11.203512013819454,,0.18677305060573524,,62.3,,0.2713290526070972,,110.35143206548457,,0.23100397478080154,
independent_ddpg,action_deadzone,0.1,10,0.9400000000000001,0.107496769977314,10.383570664687953,1.3910778614193835,0.25268426840546143,0.1847384977347477,90.155,52.089993974104296,1.092251191551357,0.3762090128660547,264.38155548297294,169.89862591595536,0.370474405297071,0.07574156437628841
maddpg,action_deadzone,0.1,10,0.975,0.06346477588219922,10.772657839425596,0.738497810736773,0.2169400513262431,0.0593007674025933,82.05000000000001,20.02365268043437,0.7961373105852702,0.5268050794118385,261.03859749427386,87.03564602821054,0.3432037281151401,0.10006293380081649
handcrafted,action_deadzone,0.2,1,1.0,,11.205780896753458,,0.18481714012163436,,62.15,,0.28251754111585925,,110.03844353299333,,0.2199693105672123,
independent_ddpg,action_deadzone,0.2,10,0.95,0.11547005383792514,10.477579771827454,1.5139176426067695,0.2594831167456021,0.22388507266176041,89.67,53.68149484588604,1.0886856233355866,0.3736863332859348,263.5735961170794,176.06167356427312,0.3685122347156241,0.07225302298523306
maddpg,action_deadzone,0.2,10,0.97,0.0632455532033676,10.706254702864346,0.7859648358769588,0.23175254866110273,0.11940780015442479,82.435,20.347345581726927,0.7978646595116998,0.5287159992992432,262.6292126972517,88.57937970931012,0.343472623465514,0.10012880008178582
handcrafted,action_deadzone,0.3,1,1.0,,11.20616955722162,,0.18457434387969293,,62.15,,0.283011492814633,,109.89265452818893,,0.21968186596042863,
independent_ddpg,action_deadzone,0.3,10,0.9400000000000001,0.11498792207106893,10.357623570290523,1.490454762050208,0.2780009372193056,0.21255017286615904,89.88500000000002,51.08747971209124,1.0896356890864825,0.3673615834488392,265.0119855211991,167.62073653909414,0.3698354794639759,0.07360550501605834
maddpg,action_deadzone,0.3,10,0.985,0.047434164902525694,10.90376399758434,0.5381380329006831,0.19424194376074,0.017566642370670477,79.66499999999999,18.260553265319086,0.7996701766119474,0.5317982958734759,252.6305333872005,79.19614962584453,0.3423034600612705,0.09938312625655743
handcrafted,observation_noise,0.0,1,1.0,,11.206196563069238,,0.18406282336771448,,62.5,,0.26861118623218994,,110.37718083428112,,0.22819326396503503,
independent_ddpg,observation_noise,0.0,10,0.9400000000000001,0.107496769977314,10.388091230486861,1.3864192174775758,0.2509963946167325,0.18270758767664041,89.18499999999999,50.715393510145304,1.0907854103012442,0.3765393559553245,261.5488582141089,166.0804537392738,0.37078332979976814,0.07663204557519376
maddpg,observation_noise,0.0,10,0.99,0.031622776601683784,10.953448454405406,0.3814188841059235,0.19459739024145034,0.017078574980489297,79.715,18.79995641247902,0.7980817104237641,0.5315799588453604,252.5906392635096,80.64911572442853,0.34231784941599014,0.09946669906454761
handcrafted,observation_noise,0.02,1,1.0,,11.205741085452724,,0.1842647368990989,,62.5,,0.26962608610608096,,110.63063386793965,,0.2287357138962116,
independent_ddpg,observation_noise,0.02,10,0.9099999999999999,0.17763883459298968,9.997603141640363,2.23120590699076,0.30389047663872,0.2740952389140786,93.535,61.30246528484805,1.076556469614679,0.38699708296926555,299.14289908633657,216.7644744411002,0.3673918110144548,0.08707082053794409
maddpg,observation_noise,0.02,10,0.97,0.06749485577105528,10.68203390965288,0.8739541812598538,0.24672143717430198,0.14776011286650603,81.445,19.24982611754079,0.7858105693081864,0.5098334982893682,271.8811454320168,77.26870134106082,0.3369441430614957,0.09726775438158748
handcrafted,observation_noise,0.05,1,1.0,,11.206162109333444,,0.18284799416756475,,62.5,,0.27122270316251196,,111.62648703822563,,0.22841730457890025,
independent_ddpg,observation_noise,0.05,10,0.915,0.1795828499606797,10.064137730741258,2.21459836078044,0.2840053938055959,0.2470441109738979,90.355,60.250336329167304,1.0156564603523581,0.38677724593547586,302.4933668507435,215.06340595128347,0.3498003966271981,0.08122829857344371
maddpg,observation_noise,0.05,10,0.975,0.05400617248673217,10.764442989762898,0.6275272310978598,0.21497953899737418,0.05741202033607662,78.22,13.420117568618968,0.7501698694781089,0.4553773671151695,271.2139548055749,52.70891206838444,0.32127405647451246,0.09346965006945915
handcrafted,observation_noise,0.1,1,1.0,,11.201015473359258,,0.1835160317345484,,62.4,,0.26743672733414614,,116.10492084533716,,0.2255317186736106,
independent_ddpg,observation_noise,0.1,10,0.9550000000000001,0.14230249470757708,10.535545860662499,1.701868001362068,0.20956277389193573,0.07327500366557332,87.43,57.65612235005441,0.9723545406183949,0.37598312268936207,305.5278682271412,208.2184361212278,0.3317532847985046,0.07769971431424247
maddpg,observation_noise,0.1,10,0.9949999999999999,0.01581138830084191,11.0064062550047,0.17137571036692434,0.19025243795937996,0.010920890246270933,71.37,5.766531790330209,0.6607042537779912,0.35661063381713604,253.97777942671246,15.46447184552964,0.2893413278067257,0.06688047654348708
handcrafted,observation_noise,0.2,1,1.0,,11.189543454327577,,0.18051855109517695,,62.8,,0.2699396259937243,,130.57447497340235,,0.22679282691634314,
independent_ddpg,observation_noise,0.2,10,0.89,0.19407902170679514,9.792191103166356,2.2092038077443963,0.22594991039221726,0.059220607699008006,106.81499999999998,61.46095440738507,0.8446180350749005,0.3542932457826855,382.4954681036464,223.34749336400577,0.3069695722298467,0.0641887701665535
maddpg,observation_noise,0.2,10,0.985,0.024152294576982418,10.851681975986189,0.2659388018837678,0.19863265274750394,0.018774809090401495,81.87500000000001,7.831533481168722,0.6138045647569008,0.32784534179615055,300.3218467631517,25.4927387029666,0.2805575110502475,0.03219361312402809
